respondent_id,persona,age_group,gender,city_tier,occupation,monthly_income,order_frequency,meal_type,cuisine_preference,dietary_preference,addon_preference,spend_per_order,max_delivery_fee,subscription_budget,payment_method,max_wait_time,importance_speed,importance_quality,importance_fee,importance_discounts,importance_tracking,switch_trigger,group_ordering,surge_attitude,current_apps,main_frustration,scheduled_delivery,data_comfort,switch_motivation,living_situation,cooking_frequency,order_triggers,festival_ordering,trust_concern,trust_builder,past_switching,churn_reason,food_attitude,discovery_channel,nps_score,complaint_behaviour,will_adopt_raw,will_adopt_binary,is_noisy
R0011,P1_Urban_Professional,25-34,Female,Metro,Salaried (private),Above 1L,Daily,Late night|Lunch|Dinner,Beverages/Chai,Non-vegetarian,Cold drink/Lassi,400-700,Up to 50,Up to 49/month,UPI,Under 20 min,4,3,4,3,3,Subscription plan|More restaurants,Yes occasionally,Acceptable with notice,Swiggy|ONDC|Zomato,Late deliveries,No,Uncomfortable,Faster delivery,Nuclear family,Sometimes 3-4/week,Festival/celebration|Working late,No specific pattern|Christmas/New Year|Onam,No refund|Data/privacy,Familiar restaurants,Switched and stayed,Restaurant left,Trend follower,App recommendation,10,Post social media,Likely will use,1,0
R0012,P6_Senior_Homemaker,35-44,Male,Tier-3,Homemaker,60k-1L,Once a week,Late night|Dinner|Lunch,North Indian|Biryani,Pure vegetarian,Extra roti/naan|Papad,400-700,Up to 15,Not interested,Cash on delivery,Over 60 min,4,4,5,3,3,Better discounts|Scheduled delivery,Yes regularly,Would wait,None,Poor support,Probably not,Uncomfortable,Local restaurants,Nuclear family,Almost always,Weekend mood,Onam,Data/privacy|Unreliable delivery,Friend recommendation,Never used,Better discounts elsewhere,Comfort food lover,Friends/WhatsApp,10,Stop using app,Definitely will use,1,0
R0013,P4_Tier2_Explorer,18-24,Male,Tier-2,Student,15k-30k,Never,Late night,South Indian,Non-vegetarian,Cold drink/Lassi,700-1200,0 (free only),100-199/month,Credit card,30-45 min,3,5,4,3,2,Better discounts,Yes regularly,Would switch apps,Zomato|None,App crashes,Probably not,Very comfortable,Faster delivery,Alone (PG/hostel),Sometimes 3-4/week,Watching match/movie|Working late|Too tired,No festival ordering,Payment fraud|Data/privacy,Friend recommendation,Switched back,Better discounts elsewhere,Comfort food lover|Foodie explorer,Search by cuisine,7,Stop using app,Neutral/unsure,0,0
R0014,P1_Urban_Professional,25-34,Male,Metro,Self-employed,Above 1L,Multiple times/week,Lunch,Fast food|Chinese/Indo-Chinese,Non-vegetarian,Raita/Chutney|Cold drink/Lassi,200-400,Up to 80,50-99/month,UPI,20-30 min,4,5,2,4,5,Faster delivery,Yes regularly,Acceptable with notice,ONDC,Late deliveries,Maybe,Comfortable,Friend referral,Alone (PG/hostel),Sometimes 3-4/week,Weekend mood|Guests at home|Watching match/movie,No specific pattern|Eid,No concerns|Unreliable delivery,Big discount,Switched back,Restaurant left,Brand loyal|Health conscious,App recommendation,8,Post social media,Definitely will use,1,0
R0015,P1_Urban_Professional,25-34,Female,Metro,Student,30k-60k,Multiple times/week,Dinner|Late night|Evening snacks,South Indian,Non-vegetarian,Dessert,Above 1200,Up to 80,200+/month,Credit card,20-30 min,5,4,4,2,5,More restaurants|Scheduled delivery,Yes regularly,Would switch apps,Swiggy|Zomato|Dunzo,High delivery fee,Yes regularly,Comfortable,Heavy discounts|Local restaurants,With parents,Sometimes 3-4/week,Working late,Eid,Data/privacy,Friend recommendation,Use multiple apps,Better discounts elsewhere,Food as fuel,Instagram/YouTube,9,Request refund,Definitely will use,1,0
R0016,P1_Urban_Professional,35-44,Male,Tier-2,Salaried (private),30k-60k,2-3 times/month,Evening snacks,Fast food|Chinese/Indo-Chinese,Pure vegetarian,No sides|Raita/Chutney|Papad,400-700,Up to 30,200+/month,UPI,20-30 min,5,3,3,2,4,Subscription plan,Yes occasionally,Acceptable if justified,Swiggy,Late deliveries,Yes occasionally,Comfortable,Friend referral,With roommates,Sometimes 3-4/week,Too tired,Holi,No refund,Money-back guarantee,Switched and stayed,Friend recommendation,Comfort food lover|Food as fuel,Always same places,8,Request refund,Neutral/unsure,0,0
R0017,P2_Price_Sensitive_Student,18-24,Male,Metro,Student,60k-1L,Multiple times/week,Late night,North Indian|Chinese/Indo-Chinese,Pure vegetarian,Cold drink/Lassi|Raita/Chutney,400-700,Up to 30,50-99/month,UPI,30-45 min,4,3,4,5,2,Transparent fees|Subscription plan,Yes occasionally,Acceptable if justified,Zomato|Swiggy,Wrong/cold food,Yes occasionally,Comfortable,Loyalty rewards|Faster delivery,With roommates,Rarely 1-2/week,Watching match/movie|Working late|Raining/bad weather,Eid|No specific pattern|Holi,Payment fraud|Platform shutting,Big discount,Never used,Price increased,Comfort food lover,Browsing ratings,4,Stop using app,Likely will use,1,0
R0018,P3_Family_Weekend_Orderer,25-34,Male,Metro,Self-employed,60k-1L,2-3 times/month,Dinner,North Indian,No preference,No sides|Raita/Chutney|Extra roti/naan,400-700,Up to 30,50-99/month,Credit card,20-30 min,3,5,3,3,3,Transparent fees|Better support,Yes regularly,Would wait,Zomato|Swiggy|Direct restaurant,Wrong/cold food,Yes occasionally,Comfortable,Heavy discounts,Alone (PG/hostel),Rarely 1-2/week,Working late,No specific pattern|Diwali|Onam,Platform shutting,Friend recommendation,Switched back,Bad deliveries,Trend follower,Search by cuisine,9,Stop using app,Unlikely to use,0,0
R0019,P2_Price_Sensitive_Student,35-44,Female,Tier-3,Student,Below 15k,Once a week,Dinner|Breakfast|Late night,South Indian,Non-vegetarian,Cold drink/Lassi|No sides|Extra roti/naan,Above 1200,Up to 15,50-99/month,UPI,30-45 min,3,4,4,4,3,Faster delivery,Rarely,Would switch apps,Dunzo|Zomato|ONDC,Late deliveries,Yes regularly,Comfortable,Social media,With parents,Never,Craving specific dish|Festival/celebration,Eid|No festival ordering|Holi,Data/privacy|Payment fraud,News/media,Switched and stayed,Better discounts elsewhere,Comfort food lover|Food as fuel,Browsing ratings,3,Post social media,Definitely will use,1,1
R0020,P2_Price_Sensitive_Student,18-24,Female,Metro,Student,Below 15k,Once a month,Evening snacks|Dinner|Lunch,Pizza|Chinese/Indo-Chinese|North Indian,Pure vegetarian,Raita/Chutney|No sides,Above 1200,Up to 50,Not interested,Wallet,30-45 min,3,4,5,4,3,More restaurants|Better discounts,Yes occasionally,Would wait,ONDC|Swiggy,High delivery fee,Probably not,Comfortable,Faster delivery,Alone (PG/hostel),Almost always,Weekend mood,Navratri|Diwali,No refund,App store reviews,Never switched,Better discounts elsewhere,Comfort food lover,Browsing ratings,6,Leave bad review,Likely will use,1,1
R0021,P3_Family_Weekend_Orderer,35-44,Male,Metro,Salaried (private),60k-1L,Never,Dinner|Lunch,South Indian|Desserts,Jain,Papad,400-700,Up to 15,200+/month,UPI,30-45 min,3,5,3,4,3,Better support|Subscription plan,Yes regularly,Acceptable if justified,Zomato|Swiggy|Direct restaurant,Late deliveries,Maybe,Not at all,Heavy discounts|Local restaurants,Nuclear family,Almost always,Festival/celebration|Guests at home|Too tired,Holi|Navratri|Onam,No refund,Money-back guarantee,Never switched,Better discounts elsewhere,Foodie explorer|Comfort food lover,Instagram/YouTube,10,Request refund,Neutral/unsure,0,0
R0022,P1_Urban_Professional,25-34,Male,Tier-2,Self-employed,60k-1L,Multiple times/week,Dinner,Fast food|Chinese/Indo-Chinese,Non-vegetarian,Raita/Chutney|Extra roti/naan,Above 1200,Up to 50,100-199/month,Debit card,20-30 min,4,3,3,2,3,Faster delivery,Rarely,Acceptable if justified,Zomato|None|Swiggy,Wrong/cold food,Yes occasionally,Not at all,Local restaurants|Loyalty rewards,Joint family,Sometimes 3-4/week,Festival/celebration,No specific pattern|Diwali|Christmas/New Year,No refund|Platform shutting,Money-back guarantee,Use multiple apps,Not applicable,Foodie explorer|Trend follower,Instagram/YouTube,9,Request refund,Definitely will use,1,0
R0023,P2_Price_Sensitive_Student,18-24,Male,Metro,Salaried (private),Below 15k,Once a week,Dinner|Lunch,Pizza,Eggetarian,Cold drink/Lassi|Extra roti/naan|Dessert,400-700,Up to 30,50-99/month,UPI,30-45 min,4,2,4,5,3,Faster delivery|Better discounts,Rarely,Strongly dislike,None,Hidden charges,Yes regularly,Neutral,Faster delivery|Friend referral,Alone (PG/hostel),Rarely 1-2/week,Raining/bad weather|Watching match/movie|Weekend mood,Diwali|Holi|Christmas/New Year,No concerns|Unreliable delivery,Big discount,Switched back,Better discounts elsewhere,Health conscious,Friends/WhatsApp,2,Request refund,Neutral/unsure,0,0
R0024,P2_Price_Sensitive_Student,18-24,Non-binary,Metro,Student,15k-30k,Multiple times/week,Evening snacks,North Indian|Beverages/Chai,Non-vegetarian,Cold drink/Lassi,100-200,Up to 15,Not interested,UPI,30-45 min,3,2,4,4,3,Transparent fees,Yes occasionally,Would switch apps,Zomato|Swiggy,Poor support,No,Neutral,Heavy discounts|Faster delivery,Alone (PG/hostel),Never,Weekend mood,No specific pattern|Diwali,Food quality,App store reviews,Switched and stayed,Bad deliveries,Trend follower,Friends/WhatsApp,7,Leave bad review,Neutral/unsure,0,0
R0025,P2_Price_Sensitive_Student,25-34,Female,Metro,Student,15k-30k,Multiple times/week,Dinner,Fast food,Non-vegetarian,Raita/Chutney,Under 100,Up to 15,Not interested,UPI,Over 60 min,5,2,5,5,4,More restaurants|Transparent fees,Yes occasionally,Strongly dislike,Zomato,Wrong/cold food,Probably not,Not at all,Heavy discounts,Alone (PG/hostel),Never,Working late|Too tired|Raining/bad weather,No specific pattern|Onam,Unreliable delivery|Food quality,Friend recommendation,Switched and stayed,App bugs,Food as fuel,Search by cuisine,8,Request refund,Likely will use,1,0
R0026,P4_Tier2_Explorer,25-34,Male,Tier-2,Salaried (private),30k-60k,2-3 times/month,Evening snacks,Desserts,Non-vegetarian,Papad|Extra roti/naan,100-200,Up to 80,50-99/month,Cash on delivery,45-60 min,4,3,4,4,2,More restaurants|Transparent fees,No always individual,Would switch apps,Swiggy|Dunzo,Wrong/cold food,Probably not,Uncomfortable,Friend referral,Joint family,Almost always,Watching match/movie,Navratri,Platform shutting,Big discount,Use multiple apps,Not applicable,Foodie explorer|Brand loyal,Friends/WhatsApp,9,Leave bad review,Likely will use,1,0
R0027,P1_Urban_Professional,25-34,Male,Metro,Salaried (private),60k-1L,2-3 times/month,Dinner|Lunch,Chinese/Indo-Chinese|Pizza|Fast food,Non-vegetarian,Cold drink/Lassi|Extra roti/naan|No sides,Above 1200,Up to 15,100-199/month,UPI,30-45 min,3,3,3,3,3,Better discounts|More restaurants,Yes occasionally,Acceptable if justified,Direct restaurant,Late deliveries,Yes regularly,Very comfortable,Loyalty rewards,Nuclear family,Almost always,Too tired|Watching match/movie,Navratri,Data/privacy|Food quality,Familiar restaurants,Use multiple apps,Bad deliveries,Trend follower,App recommendation,9,Request refund,Definitely will use,1,1
R0028,P3_Family_Weekend_Orderer,35-44,Female,Tier-2,Self-employed,60k-1L,Once a week,Evening snacks|Dinner|Lunch,North Indian,Pure vegetarian,Cold drink/Lassi|Raita/Chutney,700-1200,Up to 30,100-199/month,UPI,20-30 min,3,5,4,4,4,Better discounts,Yes regularly,Acceptable if justified,None|Zomato,Poor support,Maybe,Comfortable,Faster delivery,Nuclear family,Rarely 1-2/week,Watching match/movie|Festival/celebration|Weekend mood,Durga Puja|Diwali,Payment fraud,Big discount,Switched and stayed,Price increased,Comfort food lover,Instagram/YouTube,8,Request refund,Definitely will use,1,0
R0029,P3_Family_Weekend_Orderer,45-54,Female,Metro,Salaried (private),60k-1L,Once a month,Dinner,Pizza|Chinese/Indo-Chinese|South Indian,Pure vegetarian,Papad|Cold drink/Lassi,200-400,Up to 80,Up to 49/month,UPI,45-60 min,4,5,3,4,4,Better discounts|Scheduled delivery,Yes regularly,Acceptable with notice,Direct restaurant|Zomato|Swiggy,Wrong/cold food,Yes regularly,Neutral,Friend referral|Local restaurants,With roommates,Sometimes 3-4/week,Guests at home|Raining/bad weather,Diwali|No festival ordering,Food quality|Payment fraud,News/media,Never switched,Restaurant left,Trend follower,Instagram/YouTube,8,Contact support,Neutral/unsure,0,0
R0030,P1_Urban_Professional,25-34,,Metro,Salaried (private),,Multiple times/week,Dinner,North Indian|Fast food|Biryani,Fasting-friendly,Papad|Extra roti/naan|Cold drink/Lassi,400-700,Up to 30,Up to 49/month,UPI,20-30 min,4,4,4,3,5,Faster delivery|Transparent fees,Yes regularly,Acceptable if justified,Zomato|Swiggy,Wrong/cold food,Maybe,Comfortable,Friend referral,Nuclear family,Never,Guests at home|Working late,No specific pattern|No festival ordering,Data/privacy,Friend recommendation,Use multiple apps,,Brand loyal|Trend follower,App recommendation,9,Post social media,Neutral/unsure,0,1
R0031,P3_Family_Weekend_Orderer,35-44,Female,Metro,Salaried (govt),60k-1L,2-3 times/month,Dinner|Evening snacks|Late night,North Indian,Pure vegetarian,Dessert|Salad|Extra roti/naan,400-700,Up to 30,Up to 49/month,UPI,45-60 min,4,5,4,4,3,Subscription plan,Yes occasionally,Acceptable if justified,Dunzo|Swiggy,Late deliveries,Maybe,Comfortable,Heavy discounts|Local restaurants,Joint family,Almost always,Watching match/movie,Eid,Unreliable delivery|Food quality,Familiar restaurants,Switched back,Restaurant left,Foodie explorer,Instagram/YouTube,7,Do nothing,Neutral/unsure,0,0
R0032,P1_Urban_Professional,35-44,Male,Metro,Salaried (private),60k-1L,Multiple times/week,Evening snacks|Lunch|Breakfast,Chinese/Indo-Chinese,No preference,Papad|Dessert,700-1200,Up to 30,200+/month,Wallet,30-45 min,4,3,2,2,3,Better discounts|Transparent fees,Rarely,Acceptable if justified,Swiggy|Dunzo|Zomato,High delivery fee,Yes regularly,Very comfortable,Local restaurants,With parents,Rarely 1-2/week,Too tired|Weekend mood|Working late,Navratri|Durga Puja|No specific pattern,Data/privacy|No concerns,Money-back guarantee,Never switched,Price increased,Brand loyal|Health conscious,Always same places,10,Contact support,Definitely will use,1,0
R0033,P1_Urban_Professional,35-44,Male,Metro,Salaried (private),Above 1L,Daily,Dinner,South Indian|North Indian,Non-vegetarian,Dessert,400-700,Up to 30,200+/month,Wallet,20-30 min,5,3,2,4,5,More restaurants,Rarely,Would switch apps,Swiggy|Zomato|Direct restaurant,High delivery fee,Yes regularly,Comfortable,Loyalty rewards|Friend referral,Nuclear family,Sometimes 3-4/week,Too tired,No festival ordering|Navratri|Onam,No refund,Friend recommendation,Never switched,Bad deliveries,Trend follower,Instagram/YouTube,1,Leave bad review,Neutral/unsure,0,0
R0034,P5_Health_Conscious,45-54,Female,Metro,Salaried (private),30k-60k,Multiple times/week,Dinner|Late night|Breakfast,Beverages/Chai|Healthy/Salads|Street food,Vegan,Cold drink/Lassi|No sides,Above 1200,Up to 50,100-199/month,UPI,Under 20 min,4,5,2,3,5,Faster delivery|More restaurants,Yes regularly,Acceptable with notice,Swiggy|None|Dunzo,Late deliveries,Yes occasionally,Neutral,Loyalty rewards|Social media,Joint family,Almost always,Too tired|Festival/celebration|Watching match/movie,Holi|Christmas/New Year,Food quality,Friend recommendation,Never switched,Price increased,Foodie explorer|Health conscious,App recommendation,8,Leave bad review,Likely will use,1,0
R0035,P6_Senior_Homemaker,55+,Female,Rural,Homemaker,15k-30k,2-3 times/month,Lunch|Dinner|Breakfast,Biryani|North Indian,Pure vegetarian,Cold drink/Lassi|Raita/Chutney|Dessert,200-400,0 (free only),Not interested,UPI,30-45 min,3,5,3,4,3,Scheduled delivery,Rarely,Acceptable if justified,Swiggy|Zomato,Wrong/cold food,Probably not,Comfortable,Friend referral|Local restaurants,Nuclear family,Every meal,Festival/celebration,Navratri|Durga Puja|No festival ordering,Food quality|Payment fraud,Friend recommendation,Switched back,Friend recommendation,Brand loyal,Friends/WhatsApp,7,Do nothing,Will not use,0,0
R0036,P4_Tier2_Explorer,55+,Female,Tier-2,Salaried (private),15k-30k,Once a week,Evening snacks,Biryani|North Indian,Vegan,Dessert|Raita/Chutney|Salad,200-400,Up to 50,Not interested,Cash on delivery,30-45 min,4,4,5,5,2,Better discounts,Yes occasionally,Would switch apps,Swiggy|ONDC|None,App crashes,Yes occasionally,Comfortable,Social media,With parents,Sometimes 3-4/week,Festival/celebration,Diwali|Eid,No refund|Food quality,News/media,Never switched,Better discounts elsewhere,Foodie explorer|Comfort food lover,Friends/WhatsApp,3,Request refund,Neutral/unsure,0,0
R0037,P2_Price_Sensitive_Student,25-34,Female,Metro,Student,Below 15k,2-3 times/month,Dinner|Late night,South Indian|Biryani|Fast food,Non-vegetarian,No sides|Extra roti/naan|Cold drink/Lassi,100-200,0 (free only),Not interested,BNPL,45-60 min,5,3,5,4,2,Subscription plan,Rarely,Would wait,Swiggy|Zomato|Direct restaurant,Wrong/cold food,Maybe,Comfortable,Social media|Friend referral,Alone (PG/hostel),Rarely 1-2/week,Watching match/movie|Too tired,Diwali,Data/privacy|Payment fraud,Familiar restaurants,Switched and stayed,Better discounts elsewhere,Brand loyal|Foodie explorer,Instagram/YouTube,9,Request refund,Unlikely to use,0,0
R0038,P1_Urban_Professional,18-24,Male,Metro,Salaried (private),60k-1L,Once a week,Lunch|Evening snacks|Breakfast,Desserts,Non-vegetarian,Dessert|Extra roti/naan,200-400,Up to 30,50-99/month,Debit card,20-30 min,5,4,4,4,5,Faster delivery,Rarely,Acceptable if justified,Zomato|Swiggy,App crashes,Yes occasionally,Comfortable,Loyalty rewards|Social media,With roommates,Almost always,Guests at home|Working late,Holi,Food quality|No concerns,Friend recommendation,Switched and stayed,Bad deliveries,Foodie explorer|Brand loyal,Browsing ratings,8,Request refund,Neutral/unsure,0,0
R0039,P3_Family_Weekend_Orderer,35-44,Female,Rural,Salaried (private),30k-60k,Once a month,Dinner|Late night|Evening snacks,North Indian|Fast food|Biryani,Jain,Cold drink/Lassi|Extra roti/naan|Papad,400-700,Up to 50,100-199/month,BNPL,20-30 min,4,4,4,3,3,Better discounts,Yes regularly,Would wait,Zomato,Late deliveries,Yes regularly,Very comfortable,Friend referral|Heavy discounts,Nuclear family,Rarely 1-2/week,Watching match/movie,Eid|No festival ordering,Unreliable delivery,App store reviews,Use multiple apps,Friend recommendation,Brand loyal,Instagram/YouTube,10,Request refund,Neutral/unsure,0,0
R0040,P2_Price_Sensitive_Student,18-24,Male,Metro,Student,15k-30k,Once a week,Dinner|Lunch,Street food|Chinese/Indo-Chinese,Pure vegetarian,Raita/Chutney|Dessert,100-200,Up to 15,100-199/month,UPI,30-45 min,4,3,5,4,3,Transparent fees|Faster delivery,Rarely,Strongly dislike,Zomato,App crashes,Maybe,Neutral,Friend referral|Heavy discounts,Nuclear family,Rarely 1-2/week,Too tired,Christmas/New Year|Holi|No specific pattern,No refund,Big discount,Switched and stayed,Restaurant left,Trend follower|Food as fuel,Browsing ratings,6,Contact support,Likely will use,1,0
R0041,P1_Urban_Professional,45-54,Male,Metro,Salaried (private),15k-30k,Multiple times/week,Evening snacks,Fast food,Non-vegetarian,Extra roti/naan,200-400,Up to 50,50-99/month,UPI,20-30 min,4,5,2,4,3,Better discounts,Rarely,Would wait,Zomato,Wrong/cold food,Yes occasionally,Comfortable,Friend referral,Nuclear family,Rarely 1-2/week,Craving specific dish|Too tired,No specific pattern|Onam|Navratri,Unreliable delivery,Friend recommendation,Switched and stayed,Friend recommendation,Health conscious,Instagram/YouTube,9,Post social media,Definitely will use,1,0
R0042,P2_Price_Sensitive_Student,18-24,Male,Tier-2,Homemaker,15k-30k,Multiple times/week,Dinner|Lunch|Evening snacks,South Indian|Pizza|North Indian,Pure vegetarian,Cold drink/Lassi,100-200,0 (free only),Up to 49/month,BNPL,30-45 min,4,4,5,5,2,Better discounts,Yes regularly,Would switch apps,Direct restaurant|Zomato,High delivery fee,Maybe,Uncomfortable,Heavy discounts,With roommates,Sometimes 3-4/week,Watching match/movie|Working late|Craving specific dish,Holi,Platform shutting|No refund,Friend recommendation,Switched and stayed,Bad deliveries,Comfort food lover|Food as fuel,Instagram/YouTube,8,Request refund,Neutral/unsure,0,0
R0043,P1_Urban_Professional,35-44,Female,Metro,Salaried (private),60k-1L,Daily,Evening snacks|Dinner|Late night,Fast food,Pure vegetarian,Extra roti/naan,700-1200,Up to 50,200+/month,UPI,20-30 min,5,5,2,2,5,More restaurants|Subscription plan,No always individual,Acceptable if justified,Swiggy|None|Zomato,App crashes,Yes occasionally,Comfortable,Local restaurants,Alone (PG/hostel),Sometimes 3-4/week,Working late|Too tired|Craving specific dish,Diwali,Data/privacy|Food quality,Friend recommendation,Switched and stayed,Better discounts elsewhere,Food as fuel|Comfort food lover,App recommendation,9,Stop using app,Will not use,0,0
R0044,P5_Health_Conscious,25-34,Male,Metro,Salaried (private),Above 1L,Daily,Lunch,North Indian|Healthy/Salads,Pure vegetarian,Raita/Chutney|No sides,400-700,Up to 15,Not interested,Credit card,30-45 min,5,5,3,2,5,More restaurants,Yes occasionally,Acceptable if justified,Swiggy|Zomato,Late deliveries,Maybe,Not at all,Faster delivery|Nothing - loyal,Alone (PG/hostel),Sometimes 3-4/week,Working late|Watching match/movie|Weekend mood,Holi|No specific pattern,Payment fraud,Familiar restaurants,Never switched,Friend recommendation,Health conscious|Foodie explorer,App recommendation,9,Contact support,Likely will use,1,0
